"full_name","born","died","born_country","born_country_code","died_country","died_country_code","gender","year","category","motivation","organization_name","organization_city","organization_country","winning_age","organization_name_standard"
"Martin Chalfie","1947-01-15",NULL,"USA","US",NULL,NULL,"male",2008,"Chemistry","""for the discovery and development of the green fluorescent protein GFP""","Columbia University","New York NY","USA",61,"Columbia University"
"Robert B. Laughlin","1950-11-01",NULL,"USA","US",NULL,NULL,"male",1998,"Physics","""for their discovery of a new form of quantum fluid with fractionally charged excitations""","Stanford University","Stanford CA","USA",48,"Stanford University"
"Carolyn Bertozzi","1966-10-10",NULL,"USA","US",NULL,NULL,"female",2022,"Chemistry","""for the development of click chemistry and bioorthogonal chemistry""","Stanford University","Stanford CA","USA",56,"Stanford University"
"Norman Borlaug","1914-03-25","2009-09-12","USA","US","USA","US","male",1970,"Peace","""for having given a well-founded hope - the green revolution""",NULL,NULL,NULL,56,NULL
"John E. Walker","1941-01-07",NULL,"United Kingdom","GB",NULL,NULL,"male",1997,"Chemistry","""for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)""","MRC Laboratory of Molecular Biology","Cambridge","United Kingdom",56,"MRC Laboratory of Molecular Biology"
"Robert Koch","1843-12-11","1910-05-27","Germany","DE","Germany","DE","male",1905,"Medicine","""for his investigations and discoveries in relation to tuberculosis""","Institute for Infectious Diseases","Berlin","Germany",62,"Institute for Infectious Diseases"
"Sir Henry Dale","1875-06-09","1968-07-23","United Kingdom","GB","United Kingdom","GB","male",1936,"Medicine","""for their discoveries relating to chemical transmission of nerve impulses""","National Institute for Medical Research","London","United Kingdom",61,"National Institute for Medical Research"
"Joseph Erlanger","1874-01-05","1965-12-05","USA","US","USA","US","male",1944,"Medicine","""for their discoveries relating to the highly differentiated functions of single nerve fibres""","Washington University","St. Louis MO","USA",70,"Washington University"
"Werner Forssmann","1904-08-29","1979-06-01","Germany","DE","West Germany (now Germany)","DE","male",1956,"Medicine","""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""","Mainz University","Mainz","Germany",52,"Mainz University"
"Max von Laue","1879-10-09","1960-04-23","Germany","DE","West Germany (now Germany)","DE","male",1914,"Physics","""for his discovery of the diffraction of X-rays by crystals""","Frankfurt-on-the-Main University","Frankfurt-on-the-Main","Germany",35,"Frankfurt-on-the-Main University"
"Arthur H. Compton","1892-09-10","1962-03-15","USA","US","USA","US","male",1927,"Physics","""for his discovery of the effect named after him""","University of Chicago","Chicago IL","USA",35,"University of Chicago"
"John Cockcroft","1897-05-27","1967-09-18","United Kingdom","GB","United Kingdom","GB","male",1951,"Physics","""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""","Atomic Energy Research Establishment","Harwell Berkshire","United Kingdom",54,"Atomic Energy Research Establishment"
"Robert Schrieffer","1931-05-31","2019-07-27","USA","US","USA","US","male",1972,"Physics","""for their jointly developed theory of superconductivity usually called the BCS-theory""","University of Pennsylvania","Philadelphia PA","USA",41,"University of Pennsylvania"
"Ferdinand Braun","1850-06-06","1918-04-20","Hesse-Kassel (now Germany)","DE","USA","US","male",1909,"Physics","""in recognition of their contributions to the development of wireless telegraphy""","Strasbourg University","Strasbourg","Germany (now France)",59,"Strasbourg University"
"William Bragg","1862-07-02","1942-03-12","United Kingdom","GB","United Kingdom","GB","male",1915,"Physics","""for their services in the analysis of crystal structure by means of X-rays""","University College","London","United Kingdom",53,"University College"
"Louis Néel","1904-11-22","2000-11-17","France","FR","France","FR","male",1970,"Physics","""for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics""","University of Grenoble","Grenoble","France",66,"University of Grenoble"
"Ivar Giaever","1929-04-05",NULL,"Norway","NO",NULL,NULL,"male",1973,"Physics","""for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors respectively""","General Electric Company","Schenectady NY","USA",44,"General Electric Company"
"Jennifer A. Doudna","1964-02-19",NULL,"USA","US",NULL,NULL,"female",2020,"Chemistry","""for the development of a method for genome editing""","University of California","Berkeley CA","USA",56,"University of California"
"Roger B. Myerson","1951-03-29",NULL,"USA","US",NULL,NULL,"male",2007,"Economics","""for having laid the foundations of mechanism design theory""","University of Chicago","Chicago IL","USA",56,"University of Chicago"
"Harald zur Hausen","1936-03-11","2023-05-28","Germany","DE","Germany","DE","male",2008,"Medicine","""for his discovery of human papilloma viruses causing cervical cancer""","German Cancer Research Center","Heidelberg","Germany",72,"German Cancer Research Center"
"Roger Y. Tsien","1952-02-01","2016-08-24","USA","US","USA","US","male",2008,"Chemistry","""for the discovery and development of the green fluorescent protein GFP""","University of California","San Diego CA","USA",56,"University of California"
"Herta Müller","1953-08-17",NULL,"Romania","RO",NULL,NULL,"female",2009,"Literature","""who with the concentration of poetry and the frankness of prose depicts the landscape of the dispossessed""",NULL,NULL,NULL,56,NULL
"Jean Dausset","1916-10-19","2009-06-06","France","FR","Spain","ES","male",1980,"Medicine","""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""","Université de Paris Laboratoire Immuno-Hématologie","Paris","France",64,"Université de Paris Laboratoire Immuno-Hématologie"
"George H. Hitchings","1905-04-18","1998-02-27","USA","US","USA","US","male",1988,"Medicine","""for their discoveries of important principles for drug treatment""","Wellcome Research Laboratories","Research Triangle Park NC","USA",83,"Wellcome Research Laboratories"
"Sir Peter Mansfield","1933-10-09","2017-02-08","United Kingdom","GB",NULL,NULL,"male",2003,"Medicine","""for their discoveries concerning magnetic resonance imaging""","University of Nottingham School of Physics and Astronomy","Nottingham","United Kingdom",70,"University of Nottingham School of Physics and Astronomy"
"Alvin E. Roth","1951-12-18",NULL,"USA","US",NULL,NULL,"male",2012,"Economics","""for the theory of stable allocations and the practice of market design""","Harvard University","Cambridge MA","USA",61,"Harvard University"
"Tsung-Dao Lee","1926-11-24",NULL,"China","CN",NULL,NULL,"male",1957,"Physics","""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""","Columbia University","New York NY","USA",31,"Columbia University"
"Felix Bloch","1905-10-23","1983-09-10","Switzerland","CH","Switzerland","CH","male",1952,"Physics","""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""","Stanford University","Stanford CA","USA",47,"Stanford University"
"Willis E. Lamb","1913-07-12","2008-05-15","USA","US","USA","US","male",1955,"Physics","""for his discoveries concerning the fine structure of the hydrogen spectrum""","Stanford University","Stanford CA","USA",42,"Stanford University"
"Burton Richter","1931-03-22","2018-07-18","USA","US","USA","US","male",1976,"Physics","""for their pioneering work in the discovery of a heavy elementary particle of a new kind""","Stanford Linear Accelerator Center","Stanford CA","USA",45,"Stanford University"
"J. Michael Bishop","1936-02-22",NULL,"USA","US",NULL,NULL,"male",1989,"Medicine","""for their discovery of the cellular origin of retroviral oncogenes""","University of California School of Medicine","San Francisco CA","USA",53,"University of California"
"Avram Hershko","1937-12-31",NULL,"Hungary","HU",NULL,NULL,"male",2004,"Chemistry","""for the discovery of ubiquitin-mediated protein degradation""","Technion - Israel Institute of Technology","Haifa","Israel",67,"Technion - Israel Institute of Technology"
"Clifford G. Shull","1915-09-23","2001-03-31","USA","US","USA","US","male",1994,"Physics","""for the development of the neutron diffraction technique""","Massachusetts Institute of Technology (MIT)","Cambridge MA","USA",79,"Massachusetts Institute of Technology (MIT)"
"Emil Fischer","1852-10-09","1919-07-15","Prussia (now Germany)","DE","Germany","DE","male",1902,"Chemistry","""in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses""","Berlin University","Berlin","Germany",50,"Berlin University"
"Fritz Pregl","1869-09-03","1930-12-13","Austria-Hungary (now Slovenia)","SI","Austria","AT","male",1923,"Chemistry","""for his invention of the method of micro-analysis of organic substances""","Graz University","Graz","Austria",54,"Graz University"
"Ronald G.W. Norrish","1897-11-09","1978-06-07","United Kingdom","GB","United Kingdom","GB","male",1967,"Chemistry","""for their studies of extremely fast chemical reactions effected by disturbing the equilibrium by means of very short pulses of energy""","Institute of Physical Chemistry","Cambridge","United Kingdom",70,"Institute of Physical Chemistry"
"Robert Bárány","1876-04-22","1936-04-08","Austria","AT","Sweden","SE","male",1914,"Medicine","""for his work on the physiology and pathology of the vestibular apparatus""","Vienna University","Vienna","Austria",38,"Vienna University"
"Peter Medawar","1915-02-28","1987-10-02","Brazil","BR","United Kingdom","GB","male",1960,"Medicine","""for discovery of acquired immunological tolerance""","University College","London","United Kingdom",45,"University College"
"Jane Addams","1860-09-06","1935-05-21","USA","US","USA","US","female",1931,"Peace","""for their assiduous effort to revive the ideal of peace and to rekindle the spirit of peace in their own nation and in the whole of mankind""",NULL,NULL,NULL,71,NULL
"Friends Service Council",NULL,NULL,NULL,NULL,NULL,NULL,"org",1947,"Peace","""for their pioneering work in the international peace movement and compassionate effort to relieve human suffering thereby promoting the fraternity between nations""",NULL,NULL,NULL,NULL,NULL
"Alva Myrdal","1902-01-31","1986-02-01","Sweden","SE","Sweden","SE","female",1982,"Peace","""for their work for disarmament and nuclear and weapon-free zones""",NULL,NULL,NULL,80,NULL
"Joseph Rotblat","1908-11-04","2005-08-31","Russian Empire (now Poland)","PL","United Kingdom","GB","male",1995,"Peace","""for their efforts to diminish the part played by nuclear arms in international politics and in the longer run to eliminate such arms""",NULL,NULL,NULL,87,NULL
"Salvatore Quasimodo","1901-08-20","1968-06-14","Italy","IT","Italy","IT","male",1959,"Literature","""for his lyrical poetry which with classical fire expresses the tragic experience of life in our own times""",NULL,NULL,NULL,58,NULL
"Vicente Aleixandre","1898-04-26","1984-12-14","Spain","ES","Spain","ES","male",1977,"Literature","""for a creative poetic writing which illuminates man's condition in the cosmos and in present-day society at the same time representing the great renewal of the traditions of Spanish poetry between the wars""",NULL,NULL,NULL,79,NULL
"Derek Walcott","1930-01-23","2017-03-17","Saint Lucia","LC","Saint Lucia","LC","male",1992,"Literature","""for a poetic oeuvre of great luminosity sustained by a historical vision the outcome of a multicultural commitment""",NULL,NULL,NULL,62,NULL
